"","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","Status","StartDate","EndDate","Finished","Intro","Place","ID","Nationality","Age","Sex","English_native","Fluency_1","Fluency_2","Speak_eng","Native_lang","Other_lang","Thanks","Descript","Timing_descript_1","Timing_descript_2","Timing_descript_3","Timing_descript_4","Descript_online","Timing_descript_onli_1","Timing_descript_onli_2","Timing_descript_onli_3","Timing_descript_onli_4","Fragment","Timing_fragment_1","Timing_fragment_2","Timing_fragment_3","Timing_fragment_4","Test_1","Test_2","Start_exp_MPI","Start_Exp_Online","partID","variable","value","trialNumber","setNum","context","question","responsePhoneme","responseType","answer","blockName","lastAnswer","contextSample","responseSample"
"6328","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_3_18","1",1,18,"IN","whNonQ","wh","other","No","Online","No","IN 18","wh 18"
"6598","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_3_23","1",2,23,"IN","whNonQ","wh","other","No","Online","No","IN 23","wh 23"
"6490","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_1_21","2",3,21,"IN","whQ","wh","Q","Yes","Online","No","IN 21","wh 21"
"5518","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_3_3","1",4,3,"IN","whNonQ","wh","other","No","Online","Yes","IN 3","wh 3"
"6463","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_4_20","2",5,20,"ST","oNonQ","other","other","Yes","Online","No","ST 20","other 20"
"5410","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_1_1","2",6,1,"IN","whQ","wh","Q","Yes","Online","Yes","IN 1","wh 1"
"5626","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_5","1",7,5,"IN","None","none","none","No","Online","Yes","IN 5","none 5"
"6544","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_2_22","1",8,22,"IN","oQ","other","Q","No","Online","No","IN 22","other 22"
"5815","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_2_8","2",9,8,"ST","oQ","other","Q","Yes","Online","No","ST 8","other 8"
"5842","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_4_9","1",10,9,"IN","oNonQ","other","other","No","Online","Yes","IN 9","other 9"
