"","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","Status","StartDate","EndDate","Finished","Intro","Place","ID","Nationality","Age","Sex","English_native","Fluency_1","Fluency_2","Speak_eng","Native_lang","Other_lang","Thanks","Descript","Timing_descript_1","Timing_descript_2","Timing_descript_3","Timing_descript_4","Descript_online","Timing_descript_onli_1","Timing_descript_onli_2","Timing_descript_onli_3","Timing_descript_onli_4","Fragment","Timing_fragment_1","Timing_fragment_2","Timing_fragment_3","Timing_fragment_4","Test_1","Test_2","Start_exp_MPI","Start_Exp_Online","partID","variable","value","trialNumber","setNum","context","question","responsePhoneme","responseType","answer","blockName","lastAnswer","contextSample","responseSample"
"6733","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_4_25","2",11,25,"ST","oNonQ","other","other","Yes","Online","No","ST 25","other 25"
"5977","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_11","1",12,11,"ST",NA,"wh","other","No","Online","Yes","ST 11","wh 11"
"5572","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_4_4","1",13,4,"IN","oNonQ","other","other","No","Online","No","IN 4","other 4"
"6706","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_25","1",14,25,"IN",NA,"wh","other","No","Online","No","IN 25","wh 25"
"6193","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_4_15","2",15,15,"ST","oNonQ","other","other","Yes","Online","No","ST 15","other 15"
"6625","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_2_23","2",16,23,"ST","oQ","other","Q","Yes","Online","Yes","ST 23","other 23"
"5923","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_4_10","2",17,10,"ST","oNonQ","other","other","Yes","Online","Yes","ST 10","other 10"
"6004","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_2_12","1",18,12,"IN","oQ","other","Q","No","Online","Yes","IN 12","other 12"
"5950","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_1_11","2",19,11,"IN","whQ","wh","Q","Yes","Online","No","IN 11","wh 11"
"6274","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_2_17","1",20,17,"IN","oQ","other","Q","No","Online","Yes","IN 17","other 17"
"5545","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_2_3","2",21,3,"ST","oQ","other","Q","Yes","Online","No","ST 3","other 3"
"5491","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_1_2","2",22,2,"ST","whQ","wh","Q","Yes","Online","Yes","ST 2","wh 2"
"5734","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_2_7","1",23,7,"IN","oQ","other","Q","No","Online","Yes","IN 7","other 7"
"6058","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_3_13","2",24,13,"IN","whNonQ","wh","other","Yes","Online","No","IN 13","wh 13"
"6517","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_21","2",25,21,"ST",NA,"wh","other","Yes","Online","Yes","ST 21","wh 21"
"5869","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_3_9","2",26,9,"ST","whNonQ","wh","other","Yes","Online","Yes","ST 9","wh 9"
"6220","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_1_16","1",27,16,"IN","whQ","wh","Q","No","Online","Yes","IN 16","wh 16"
"5761","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_1_7","2",28,7,"ST","whQ","wh","Q","Yes","Online","No","ST 7","wh 7"
"6382","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_4_19","1",29,19,"IN","oNonQ","other","other","No","Online","Yes","IN 19","other 19"
"6652","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_4_24","1",30,24,"IN","oNonQ","other","other","No","Online","No","IN 24","other 24"
"6031","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_1_12","2",31,12,"ST","whQ","wh","Q","Yes","Online","No","ST 12","wh 12"
"5788","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_3_8","1",32,8,"IN","whNonQ","wh","other","No","Online","Yes","IN 8","wh 8"
"6139","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_3_14","2",33,14,"ST","whNonQ","wh","other","Yes","Online","No","ST 14","wh 14"
"6112","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_4_14","1",34,14,"IN","oNonQ","other","other","No","Online","Yes","IN 14","other 14"
"6355","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_2_18","2",35,18,"ST","oQ","other","Q","Yes","Online","No","ST 18","other 18"
"5599","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_3_4","2",36,4,"ST","whNonQ","wh","other","Yes","Online","Yes","ST 4","wh 4"
"5653","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_4_5","1",37,5,"ST","oNonQ","other","other","No","Online","Yes","ST 5","other 5"
"6571","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_1_22","2",38,22,"ST","whQ","wh","Q","Yes","Online","No","ST 22","wh 22"
"5437","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_1","2",39,1,"ST","whQ","wh","Q","Yes","Online","Yes","ST 1","wh 1"
"6301","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_1_17","2",40,17,"ST","whQ","wh","Q","Yes","Online","Yes","ST 17","wh 17"
"5707","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_6","2",41,6,"ST",NA,"wh","other","Yes","Online","Yes","ST 6","wh 6"
"6679","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_3_24","2",42,24,"ST","whNonQ","wh","other","Yes","Online","Yes","ST 24","wh 24"
"5464","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_2_2","1",43,2,"IN","oQ","other","Q","No","Online","Yes","IN 2","other 2"
"6436","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_20","1",44,20,"IN",NA,"wh","other","No","Online","No","IN 20","wh 20"
"6247","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_16","2",45,16,"ST",NA,"wh","other","Yes","Online","No","ST 16","wh 16"
"6409","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_3_19","2",46,19,"ST","whNonQ","wh","other","Yes","Online","Yes","ST 19","wh 19"
"5896","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_10","1",47,10,"IN",NA,"wh","other","No","Online","Yes","IN 10","wh 10"
"6166","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_15","1",48,15,"IN",NA,"wh","other","No","Online","No","IN 15","wh 15"
"6085","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","ST_2_13","2",49,13,"ST","oQ","other","Q","Yes","Online","No","ST 13","other 13"
"5680","R_79fQnLg5oVMFAUp","Default Response Set","Anonymous","","","0","2016-07-01 09:19:12","2016-07-01 09:45:12","1","1","1","","American","21","M","1","","","","","Dutch","1","","100.562","100.562","101.346","1","1","100.562","100.562","101.347","1","1","0","0","38.623","0","1","2","","1","O1","IN_1_6","1",50,6,"IN","whQ","wh","Q","No","Online","Yes","IN 6","wh 6"
"5683","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_1_6","2",1,6,"IN","whQ","wh","Q","Yes","Online","No","IN 6","wh 6"
"5575","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_4_4","1",2,4,"IN","oNonQ","other","other","No","Online","Yes","IN 4","other 4"
"6439","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_20","2",3,20,"IN",NA,"wh","other","Yes","Online","No","IN 20","wh 20"
"6493","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_1_21","2",4,21,"IN","whQ","wh","Q","Yes","Online","Yes","IN 21","wh 21"
"5602","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","ST_3_4","2",5,4,"ST","whNonQ","wh","other","Yes","Online","Yes","ST 4","wh 4"
"5791","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_3_8","1",6,8,"IN","whNonQ","wh","other","No","Online","Yes","IN 8","wh 8"
"6520","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","ST_21","1",7,21,"ST",NA,"wh","other","No","Online","No","ST 21","wh 21"
"6601","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_3_23","2",8,23,"IN","whNonQ","wh","other","Yes","Online","No","IN 23","wh 23"
"5764","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","ST_1_7","2",9,7,"ST","whQ","wh","Q","Yes","Online","Yes","ST 7","wh 7"
"6574","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","ST_1_22","1",10,22,"ST","whQ","wh","Q","No","Online","Yes","ST 22","wh 22"
"5926","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","ST_4_10","2",11,10,"ST","oNonQ","other","other","Yes","Online","No","ST 10","other 10"
"5737","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_2_7","2",12,7,"IN","oQ","other","Q","Yes","Online","Yes","IN 7","other 7"
"6547","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_2_22","2",13,22,"IN","oQ","other","Q","Yes","Online","Yes","IN 22","other 22"
"6709","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_25","2",14,25,"IN",NA,"wh","other","Yes","Online","Yes","IN 25","wh 25"
"6034","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","ST_1_12","1",15,12,"ST","whQ","wh","Q","No","Online","Yes","ST 12","wh 12"
"5818","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","ST_2_8","1",16,8,"ST","oQ","other","Q","No","Online","No","ST 8","other 8"
"6088","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","ST_2_13","1",17,13,"ST","oQ","other","Q","No","Online","No","ST 13","other 13"
"6655","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_4_24","2",18,24,"IN","oNonQ","other","other","Yes","Online","No","IN 24","other 24"
"6250","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","ST_16","1",19,16,"ST",NA,"wh","other","No","Online","Yes","ST 16","wh 16"
"6385","R_3McEQ51uQWzLKoS","Default Response Set","Anonymous","","","0","2016-07-02 09:39:28","2016-07-02 09:55:34","1","1","1","","Canadian","68","M","1","","","","","None","1","","2.064","2.064","2.88","1","1","2.064","2.064","2.882","1","1","0","0","4.007","0","1","2","","1","O2","IN_4_19","2",20,19,"IN","oNonQ","other","other","Yes","Online","No","IN 19","other 19"
