"","X","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","Status","StartDate","EndDate","Finished","Intro","Place","ID","Nationality","Age","Sex","English_native","Fluency_1","Fluency_2","Speak_eng","Native_lang","Other_lang","Thanks","Descript","Timing_descript_1","Timing_descript_2","Timing_descript_3","Timing_descript_4","Descript_online","Timing_descript_onli_1","Timing_descript_onli_2","Timing_descript_onli_3","Timing_descript_onli_4","Fragment","Timing_fragment_1","Timing_fragment_2","Timing_fragment_3","Timing_fragment_4","Test_1","Test_2","Start_exp_MPI","Start_Exp_Online","partID","variable","value","trialNumber","setNum","context","question","responsePhoneme","responseType","answer","blockName","lastAnswer","EnglishType","Nationality2","Nationality3","contextSample","responseSample","context.sex","response.sex","response.firstO"
"11",216,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_2_22",2,11,22,"ST","oQ","other","Q","Yes","Block1","No","Other","Australian","Other","ST 22","other 22","F","M","s"
"12",11,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_3_2",1,12,2,"IN","whNonQ","wh","other","No","Block1","Yes","Other","Australian","Other","IN 2","wh 2","M","F","w"
"13",101,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_2_11",1,13,11,"IN","oQ","other","Q","No","Block1","No","Other","Australian","Other","IN 11","other 11","M","M","a"
"14",196,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_20",2,14,20,"ST","None","none","none","Yes","Block1","No","Other","Australian","Other","ST 20","none","M","F","a"
"15",41,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_1_5",2,15,5,"IN","whQ","wh","Q","Yes","Block1","Yes","Other","Australian","Other","IN 5","wh 5","M","M","w"
"16",156,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_1_16",2,16,16,"ST","whQ","wh","Q","Yes","Block1","Yes","Other","Australian","Other","ST 16","wh 16","M","F","w"
"17",171,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_4_18",1,17,18,"IN","oNonQ","other","other","No","Block1","Yes","Other","Australian","Other","IN 18","other 18","F","F","d"
"18",56,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_1_6",1,18,6,"ST","whQ","wh","Q","No","Block1","No","Other","Australian","Other","ST 6","wh 6","M","M","w"
"19",121,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_4_13",1,19,13,"IN","oNonQ","other","other","No","Block1","No","Other","Australian","Other","IN 13","other 13","M","M","a"
"20",221,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_4_23",1,20,23,"IN","oNonQ","other","other","No","Block1","No","Other","Australian","Other","IN 23","other 23","M","M","t"
"21",211,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_3_22",1,21,22,"IN","whNonQ","wh","other","No","Block1","No","Other","Australian","Other","IN 22","wh 22","F","M","w"
"22",146,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_15",2,22,15,"ST","None","none","none","Yes","Block1","No","Other","Australian","Other","ST 15","none","F","F","a"
"23",151,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_2_16",1,23,16,"IN","oQ","other","Q","No","Block1","Yes","Other","Australian","Other","IN 16","other 16","M","F","a"
"24",96,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_10",1,24,10,"ST","None","none","none","No","Block1","No","Other","Australian","Other","ST 10","none","F","F","a"
"25",246,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_25",2,25,25,"ST","None","none","none","Yes","Block1","No","Other","Australian","Other","ST 25","none","M","F","a"
"26",226,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_3_23",2,26,23,"ST","whNonQ","wh","other","Yes","Block1","Yes","Other","Australian","Other","ST 23","wh 23","M","M","w"
"27",51,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_2_6",2,27,6,"IN","oQ","other","Q","Yes","Block1","Yes","Other","Australian","Other","IN 6","other 6","M","M","i"
"28",136,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_4_14",1,28,14,"ST","oNonQ","other","other","No","Block1","Yes","Other","Australian","Other","ST 14","other 14","M","M","b"
"29",126,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_3_13",2,29,13,"ST","whNonQ","wh","other","Yes","Block1","No","Other","Australian","Other","ST 13","wh 13","M","M","w"
"30",241,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_1_25",1,30,25,"IN","whQ","wh","Q","No","Block1","Yes","Other","Australian","Other","IN 25","wh 25","M","M","w"
"31",16,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_2_2",2,31,2,"ST","oQ","other","Q","Yes","Block1","No","Other","Australian","Other","ST 2","other 2","M","M","s"
"32",61,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_3_7",1,32,7,"IN","whNonQ","wh","other","No","Block1","Yes","Other","Australian","Other","IN 7","wh 7","F","F","w"
"33",166,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_2_17",1,33,17,"ST","oQ","other","Q","No","Block1","No","Other","Australian","Other","ST 17","other 17","M","F","a"
"34",116,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_2_12",2,34,12,"ST","oQ","other","Q","Yes","Block1","No","Other","Australian","Other","ST 12","other 12","F","M","d"
"35",6,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_1_1",2,35,1,"ST","whQ","wh","Q","Yes","Block1","Yes","Other","Australian","Other","ST 1","wh 1","F","F","h"
"36",21,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_4_3",1,36,3,"IN","oNonQ","other","other","No","Block1","Yes","Other","Australian","Other","IN 3","other 3","F","F","y"
"37",141,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_1_15",2,37,15,"IN","whQ","wh","Q","Yes","Block1","No","Other","Australian","Other","IN 15","wh 15","F","M","w"
"38",191,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_1_20",2,38,20,"IN","whQ","wh","Q","Yes","Block1","Yes","Other","Australian","Other","IN 20","wh 20","M","M","w"
"39",131,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_14",1,39,14,"IN","None","none","none","No","Block1","Yes","Other","Australian","Other","IN 14","none","M","F","a"
"40",181,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_19",1,40,19,"IN","None","none","none","No","Block1","No","Other","Australian","Other","IN 19","none","M","F","a"
"41",31,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_4",1,41,4,"IN","None","none","none","No","Block1","No","Other","Australian","Other","IN 4","none","F","F","a"
"42",81,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_9",1,42,9,"IN","None","none","none","No","Block1","No","Other","Australian","Other","IN 9","none","F","F","a"
"43",46,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_5",2,43,5,"ST","None","none","none","Yes","Block1","No","Other","Australian","Other","ST 5","none","M","F","a"
"44",111,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_3_12",1,44,12,"IN","whNonQ","wh","other","No","Block1","Yes","Other","Australian","Other","IN 12","wh 12","F","M","w"
"45",66,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_2_7",2,45,7,"ST","oQ","other","Q","Yes","Block1","No","Other","Australian","Other","ST 7","other 7","F","F","a"
"46",86,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_4_9",2,46,9,"ST","oNonQ","other","other","Yes","Block1","Yes","Other","Australian","Other","ST 9","other 9","F","M","d"
"47",106,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_1_11",2,47,11,"ST","whQ","wh","Q","Yes","Block1","Yes","Other","Australian","Other","ST 11","wh 11","M","M","w"
"48",91,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_1_10",2,48,10,"IN","whQ","wh","Q","Yes","Block1","Yes","Other","Australian","Other","IN 10","wh 10","F","F","w"
"49",161,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_3_17",1,49,17,"IN","whNonQ","wh","other","No","Block1","Yes","Other","Australian","Other","IN 17","wh 17","M","F","w"
"50",1,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_2_1",1,50,1,"IN","oQ","other","Q","No","Block1","No","Other","Australian","Other","IN 1","other 1","F","F","d"
"51",238,"R_2X4YCNfaAVtqodQ","Default Response Set","Anonymous",NA,NA,0,"2016-07-11 01:46:14","2016-07-11 02:00:20",1,NA,2,11,"Indian",25,"F",1,NA,NA,NA,NA,"Hindi",1,1,24.502,24.502,25.906,1,NA,24.502,24.502,25.905,1,1,0,0,40.172,0,2,1,1,NA,11,"ST_4_24",2,1,24,"ST","oNonQ","other","other","Yes","Block1","No","Other","Indian","Other","ST 24","other 24","F","F","a"
"52",93,"R_2X4YCNfaAVtqodQ","Default Response Set","Anonymous",NA,NA,0,"2016-07-11 01:46:14","2016-07-11 02:00:20",1,NA,2,11,"Indian",25,"F",1,NA,NA,NA,NA,"Hindi",1,1,24.502,24.502,25.906,1,NA,24.502,24.502,25.905,1,1,0,0,40.172,0,2,1,1,NA,11,"IN_1_10",1,2,10,"IN","whQ","wh","Q","No","Block1","Yes","Other","Indian","Other","IN 10","wh 10","F","F","w"
"53",138,"R_2X4YCNfaAVtqodQ","Default Response Set","Anonymous",NA,NA,0,"2016-07-11 01:46:14","2016-07-11 02:00:20",1,NA,2,11,"Indian",25,"F",1,NA,NA,NA,NA,"Hindi",1,1,24.502,24.502,25.906,1,NA,24.502,24.502,25.905,1,1,0,0,40.172,0,2,1,1,NA,11,"ST_4_14",2,3,14,"ST","oNonQ","other","other","Yes","Block1","No","Other","Indian","Other","ST 14","other 14","M","M","b"
"54",183,"R_2X4YCNfaAVtqodQ","Default Response Set","Anonymous",NA,NA,0,"2016-07-11 01:46:14","2016-07-11 02:00:20",1,NA,2,11,"Indian",25,"F",1,NA,NA,NA,NA,"Hindi",1,1,24.502,24.502,25.906,1,NA,24.502,24.502,25.905,1,1,0,0,40.172,0,2,1,1,NA,11,"IN_19",1,4,19,"IN","None","none","none","No","Block1","Yes","Other","Indian","Other","IN 19","none","M","F","a"
"55",78,"R_2X4YCNfaAVtqodQ","Default Response Set","Anonymous",NA,NA,0,"2016-07-11 01:46:14","2016-07-11 02:00:20",1,NA,2,11,"Indian",25,"F",1,NA,NA,NA,NA,"Hindi",1,1,24.502,24.502,25.906,1,NA,24.502,24.502,25.905,1,1,0,0,40.172,0,2,1,1,NA,11,"ST_3_8",2,5,8,"ST","whNonQ","wh","other","Yes","Block1","No","Other","Indian","Other","ST 8","wh 8","M","F","w"
"56",123,"R_2X4YCNfaAVtqodQ","Default Response Set","Anonymous",NA,NA,0,"2016-07-11 01:46:14","2016-07-11 02:00:20",1,NA,2,11,"Indian",25,"F",1,NA,NA,NA,NA,"Hindi",1,1,24.502,24.502,25.906,1,NA,24.502,24.502,25.905,1,1,0,0,40.172,0,2,1,1,NA,11,"IN_4_13",1,6,13,"IN","oNonQ","other","other","No","Block1","Yes","Other","Indian","Other","IN 13","other 13","M","M","a"
"57",33,"R_2X4YCNfaAVtqodQ","Default Response Set","Anonymous",NA,NA,0,"2016-07-11 01:46:14","2016-07-11 02:00:20",1,NA,2,11,"Indian",25,"F",1,NA,NA,NA,NA,"Hindi",1,1,24.502,24.502,25.906,1,NA,24.502,24.502,25.905,1,1,0,0,40.172,0,2,1,1,NA,11,"IN_4",1,7,4,"IN","None","none","none","No","Block1","No","Other","Indian","Other","IN 4","none","F","F","a"
"58",18,"R_2X4YCNfaAVtqodQ","Default Response Set","Anonymous",NA,NA,0,"2016-07-11 01:46:14","2016-07-11 02:00:20",1,NA,2,11,"Indian",25,"F",1,NA,NA,NA,NA,"Hindi",1,1,24.502,24.502,25.906,1,NA,24.502,24.502,25.905,1,1,0,0,40.172,0,2,1,1,NA,11,"ST_2_2",2,8,2,"ST","oQ","other","Q","Yes","Block1","No","Other","Indian","Other","ST 2","other 2","M","M","s"
