"","X","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","Status","StartDate","EndDate","Finished","Intro","Place","ID","Nationality","Age","Sex","English_native","Fluency_1","Fluency_2","Speak_eng","Native_lang","Other_lang","Thanks","Descript","Timing_descript_1","Timing_descript_2","Timing_descript_3","Timing_descript_4","Descript_online","Timing_descript_onli_1","Timing_descript_onli_2","Timing_descript_onli_3","Timing_descript_onli_4","Fragment","Timing_fragment_1","Timing_fragment_2","Timing_fragment_3","Timing_fragment_4","Test_1","Test_2","Start_exp_MPI","Start_Exp_Online","partID","variable","value","trialNumber","setNum","context","question","responsePhoneme","responseType","answer","blockName","lastAnswer","EnglishType","Nationality2","Nationality3","contextSample","responseSample","context.sex","response.sex","response.firstO"
"1",231,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_24",1,1,24,"IN","None","none","none","No","Block1","No","Other","Australian","Other","IN 24","none","F","F","a"
"2",71,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_4_8",1,2,8,"IN","oNonQ","other","other","No","Block1","No","Other","Australian","Other","IN 8","other 8","M","F","i"
"3",176,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_3_18",1,3,18,"ST","whNonQ","wh","other","No","Block1","No","Other","Australian","Other","ST 18","wh 18","F","F","w"
"4",206,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_1_21",2,4,21,"ST","whQ","wh","Q","Yes","Block1","No","Other","Australian","Other","ST 21","wh 21","F","F","w"
"5",26,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_3_3",2,5,3,"ST","whNonQ","wh","other","Yes","Block1","Yes","Other","Australian","Other","ST 3","wh 3","F","F","w"
"6",186,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_4_19",2,6,19,"ST","oNonQ","other","other","Yes","Block1","Yes","Other","Australian","Other","ST 19","other 19","M","M","b"
"7",36,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_4_4",2,7,4,"ST","oNonQ","other","other","Yes","Block1","Yes","Other","Australian","Other","ST 4","other 4","F","F","a"
"8",76,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_3_8",1,8,8,"ST","whNonQ","wh","other","No","Block1","Yes","Other","Australian","Other","ST 8","wh 8","M","F","w"
"9",201,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"IN_2_21",1,9,21,"IN","oQ","other","Q","No","Block1","No","Other","Australian","Other","IN 21","other 21","F","F","y"
"10",236,"R_3s015VjZao94cFc","Default Response Set","Anonymous",NA,NA,0,"2016-06-30 08:27:41","2016-06-30 08:46:38",1,1,2,1,"Australian",26,"M",1,NA,NA,NA,NA,"",1,1,46.128,49.736,53.184,2,NA,46.129,49.737,53.186,2,1,22.637,36.237,48.346,3,2,1,1,NA,1,"ST_4_24",1,10,24,"ST","oNonQ","other","other","No","Block1","No","Other","Australian","Other","ST 24","other 24","F","F","a"
