"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.910775281345026,0.316687106894148,2.87594683053975,0.00402817558586705
"trialNumber.center",0.751157234473121,0.200838939772816,3.7400975892564,0.00018394882274108
"contextIN",-4.18171365247993,0.541103818102045,-7.72811706845379,1.09148948471533e-14
"responsePhonemewh",1.22976763287021,0.338896807734509,3.62873773019899,0.000284810404529958
"responsePhonemenone",-0.0730865299077074,0.613482070893675,-0.119133929702689,0.905169250138782
"contextIN:responsePhonemewh",-0.227145129107797,0.460857436896414,-0.492875043174908,0.622100882318295
"contextIN:responsePhonemenone",-0.699941356079728,0.680696749299738,-1.02827192402459,0.303821933974472
"trialNumber.center:contextIN",-1.23212743537591,0.350140514845331,-3.51895134420585,0.000433256158694268
