"","","2.5 %","97.5 %","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.14050230450457,1.4309572190337,2.85004738997544,0.36201945090199,5.91267209309168,3.36601861878468e-09
"trialNumber.center",0.751144344672086,0.357506427365906,1.14478226197827,0.200839362565407,3.74002553621659,0.000184001560737712
"contextIN",-4.40881462406162,-5.40982301176642,-3.40780623635683,0.510727949901437,-8.6324130584834,6.00710006196916e-18
"responsePhonemenone",-1.30284307927133,-2.54267798281728,-0.063008175725388,0.632580452154021,-2.05956898420585,0.0394397638590405
"responsePhonemeother",-1.22975255320136,-1.89398130351673,-0.565523802885986,0.338898446887149,-3.62867568292769,0.000284878854579948
"contextIN:responsePhonemenone",-0.472852912591471,-1.80032909791731,0.854623272734368,0.677296213500249,-0.69814787557689,0.485084720182196
"contextIN:responsePhonemeother",0.227106913783627,-0.676182438944555,1.13039626651181,0.460870383258679,0.492778277870279,0.622169260794189
"trialNumber.center:contextIN",-1.23212269591967,-1.91839181141679,-0.545853580422548,0.350143737798412,-3.51890541772031,0.000433331165393297
