"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"conXrPh",19,1000.40828840613,1097.11974828588,-481.204144203066,962.408288406133,NA,NA,NA
"trialXCon",20,989.59910906003,1091.40064577555,-474.799554530015,949.59910906003,12.8091793461025,1,0.00034492283456169
"trialXph",22,993.245115386784,1105.22680577386,-474.622557693392,949.245115386784,0.353993673246237,2,0.837782434740388
"trXcoXph",24,996.630378120678,1118.7922221793,-474.315189060339,948.630378120678,0.614737266105635,2,0.735379465758193
