"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"m0",12,1064.57515250207,1125.65607453138,-520.287576251033,1040.57515250207,NA,NA,NA
"trial",13,1061.836365945,1128.00736481009,-517.918182972501,1035.836365945,4.73878655706403,1,0.0294898644826022
"trialQ",14,1062.65913302619,1133.92020872706,-517.329566513097,1034.65913302619,1.17723291880884,1,0.277920039021923
