"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"trial",13,1061.836365945,1128.00736481009,-517.918182972501,1035.836365945,NA,NA,NA
"prevAns",14,1062.11525544918,1133.37633115005,-517.057627724591,1034.11525544918,1.72111049582145,1,0.189550162515308
