"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"trial",14,1051.32185166619,1122.58292736706,-511.660925833097,1023.32185166619,NA,NA,NA
"sex",15,1053.30181345796,1129.6529659946,-511.65090672898,1023.30181345796,0.0200382082355191,1,0.887430424937966
