"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"trial",13,1061.836365945,1128.00736481009,-517.918182972501,1035.836365945,NA,NA,NA
"age",14,1062.87375214003,1134.13482784089,-517.436876070014,1034.87375214003,0.962613804973898,1,0.326529208944561
