"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"mA0",2,1636.69631691827,1646.87647058982,-816.348158459136,1632.69631691827,NA,NA,NA
"mA1",3,1116.41534684586,1131.68557735319,-555.207673422931,1110.41534684586,522.280970072409,1,1.34985996421705e-115
"mA2",4,1094.73301385372,1115.09332119683,-543.366506926862,1086.73301385372,23.6823329921378,1,1.13620805558339e-06
"mA3",6,1059.51096328267,1090.05142429732,-523.755481641333,1047.51096328267,39.2220505710579,2,3.04116465247559e-09
"mA4",13,1054.11781233395,1120.28881119903,-514.058906166973,1028.11781233395,19.3931509487209,7,0.00704099025775867
