"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"mA0",2,1636.69631691827,1646.87647058982,-816.348158459136,1632.69631691827,NA,NA,NA
"mA0b",3,1637.56504805285,1652.83527856018,-815.782524026424,1631.56504805285,1.13126886542454,1,0.287504849383246
