"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"conXrPh",19,1000.40828840613,1097.11974828588,-481.204144203066,962.408288406133,NA,NA,NA
"Sex",20,1002.40334418045,1104.20488089597,-481.201672090225,962.403344180449,0.00494422568328901,1,0.943942794040242
"SexXresp",22,1003.13939547257,1115.12108585964,-479.569697736284,959.139395472568,3.2639487078809,2,0.195543121422926
"SexXcon",23,1004.59230124566,1121.66406846851,-479.296150622831,958.592301245662,0.547094226906665,1,0.459507428105448
"SxXcoXre",25,1008.25234426447,1135.50426515888,-479.126172132237,958.252344264474,0.339956981187697,2,0.843682963520744
