"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"trial",14,1051.32185166619,1122.58292736706,-511.660925833097,1023.32185166619,NA,NA,NA
"Etype",16,1053.22741926567,1134.66864863809,-510.613709632837,1021.22741926567,2.09443240052019,2,0.350913262913667
