"","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"trial",14,1051.32185166619,1122.58292736706,-511.660925833097,1023.32185166619,NA,NA,NA
"contS",15,1051.792706334,1128.14385887064,-510.896353167001,1021.792706334,1.52914533219257,1,0.216240760465697
"respS",16,1053.77330722771,1135.21453660013,-510.886653613856,1021.77330722771,0.0193991062893701,1,0.889228360539163
"contXrespS",17,1055.74984514103,1142.28115134923,-510.874922570517,1021.74984514103,0.0234620866785917,1,0.878261543590298
